[2023-04-12 00:11:57.981] boot -  INFO [main] ---SpringBootTestContextBootstrapper: Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.pipi.middlewaresecondpractice.RedisTest], using SpringBootContextLoader
[2023-04-12 00:11:57.987] boot -  INFO [main] ---AbstractContextLoader: Could not detect default resource locations for test class [com.pipi.middlewaresecondpractice.RedisTest]: no resource found for suffixes {-context.xml, Context.groovy}.
[2023-04-12 00:11:57.988] boot -  INFO [main] ---AnnotationConfigContextLoaderUtils: Could not detect default configuration classes for test class [com.pipi.middlewaresecondpractice.RedisTest]: RedisTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
[2023-04-12 00:11:58.096] boot -  INFO [main] ---SpringBootTestContextBootstrapper: Found @SpringBootConfiguration com.pipi.middlewaresecondpractice.MiddlewareSecondPracticeApplication for test class com.pipi.middlewaresecondpractice.RedisTest
[2023-04-12 00:11:58.179] boot -  INFO [main] ---SpringBootTestContextBootstrapper: Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
[2023-04-12 00:11:58.193] boot -  INFO [main] ---SpringBootTestContextBootstrapper: Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5b8dfcc1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2f9f7dcf, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@747ddf94, org.springframework.test.context.support.DirtiesContextTestExecutionListener@35e2d654, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1bd4fdd, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@55183b20, org.springframework.test.context.event.EventPublishingTestExecutionListener@4f83df68, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6cf0e0ba, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7d8995e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@130d63be, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@42a48628, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@293a5bf6, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6aeb35e6]
[2023-04-12 00:11:58.420] boot -  INFO [main] ---RedisTest: Starting RedisTest on LAPTOP-7K65VV7B with PID 15988 (started by XJW in D:\myProjects\middleware-second-practice)
[2023-04-12 00:11:58.421] boot -  INFO [main] ---RedisTest: No active profile set, falling back to default profiles: default
[2023-04-12 00:11:58.675] boot -  INFO [main] ---RepositoryConfigurationDelegate: Multiple Spring Data modules found, entering strict repository configuration mode!
[2023-04-12 00:11:58.678] boot -  INFO [main] ---RepositoryConfigurationDelegate: Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2023-04-12 00:11:58.698] boot -  INFO [main] ---RepositoryConfigurationDelegate: Finished Spring Data repository scanning in 10ms. Found 0 Redis repository interfaces.
[2023-04-12 00:11:59.071] boot -  INFO [main] ---RedisTest: Started RedisTest in 0.822 seconds (JVM running for 1.562)
[2023-04-12 00:11:59.236] boot -  INFO [main] ---RedisTest: 读取出来的内容：robert test
